TESTED,ALL DATA AVAILABLE,Sample Nr. (=INDEX Nr.),Original SAMPLE Nr.,RAW LOAD,RAW IMP,RAW CV,opt,LOAD,IMP,CV,Ink,Catalyst,Ionomer,Solvent,I:C ratio,Membrane,Pt loading - anode/cathode - mg/cm2,Comment,Filename,A loading,K loading,total load,Loading color scale,max power density (W/cm2),OCV,U at 1A/cm2,ohmic resistance (?),polarization resistance (?),mass specific surface (m2/g),,,,,,,,,,,,
1,0,,64,0,0,0,,0,0,0,Tubaf-PtC_KHE_04_01,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.098,02:01:00,Batch 15,0.033,0.066,0.099,0.099,[],[],[],[],[],,[],[],[],[],[],,,,,,,
1,3,40,65,1,1,1,,1,1,1,Tubaf-PtC_KHE_04_01,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.104,02:01:00,Batch 15,0.035,0.069,0.104,0.104,0.679,0.927,0.558,0.0025,0.0107,14.35415809,0,679,0,927,0,558,0,25,0,107,14,35415809
1,0,,66,0,0,0,,0,0,0,Tubaf-PtC_KHE_04_02,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,?,FS-960-RF,,one sided,Batch 16,0.067,,0.067,0.067,[],[],[],[],[],,[],[],,,,,,,,,,
1,0,,67,0,0,0,,0,0,0,Tubaf-PtC_KHE_04_02,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,?,FS-960-RF,,one sided,Batch 16,0.061,,0.061,0.061,[],[],[],[],[],,[],[],,,,,,,,,,
1,3,41,68,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Aquivion 50,0.181,?,Batch 18,0.09,0.09,0.18,0.18,0.434,0.974,0.421,0.0065,0.023,16.77049434,0,434,0,974,0,421,0,65,0,230,16,77049434
1,2,,69,0,1,1,post,0,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Aquivion 50,0.181,,Batch 18,0.091,0.091,0.181,0.181,[],[],[],[],[],14.21856057,[],[],[],[],[],14,21856057,,,,,
1,2,42,70,1,1,0,,1,1,0,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion HP,0.188,?,Batch 18,0.094,0.094,0.188,0.188,1.235,0.891,0.672,0.0015,0.008,,1,235,0,891,0,672,0,15,0,80,,
1,3,43,71,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion HP,0.19,?,Batch 18,0.095,0.095,0.19,0.19,1.373,0.938,0.688,0.0013,0.0071,23.04910663,1,373,0,938,0,688,0,13,0,71,23,4910663
1,3,44,72,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion XL,0.186,?,Batch 18,0.093,0.093,0.186,0.186,1.054,0.895,0.646,0.0018,0.0078,24.7799351,1,54,0,895,0,646,0,18,0,78,24,7799351
0,3,,73,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion XL,0.188,?,Batch 18,0.094,0.094,0.188,0.188,0.912,0.932,0.672,0.0017,0.0074,16.96312222,0,912,0,932,0,672,0,17,0,74,16,96312222
0,3,,74,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 211,0.18,5x6 cm,Batch 18,0.09,0.09,0.18,0.18,0.971,0.924,0.699,0.0012,0.0068,23.63715953,0,971,0,924,0,699,0,12,0,68,23,63715953
0,3,,75,1,1,1,,1,1,1,Imm-PtC_KHE_25,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 211,0.185,5x6 cm,Batch 18,0.093,0.093,0.185,0.185,0.842,0.901,0.629,0.0017,0.0076,19.87568797,0,842,0,901,0,629,0,17,0,76,19,87568797
1,3,,76,1,1,1,,1,1,1,Tubaf-PtC_KHE_04_03,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,?,FS-960-RF,0.082,,Batch 19,0.027,0.055,0.082,0.082,0.527,1.045,0.474,0.0038,0.0149,14.00915913,527,1,45,0,474,0,38,0,149,14,915913,
1,3,,77,1,1,1,,1,1,1,Tubaf-PtC_KHE_04_03,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,?,FS-960-RF,0.082,,Batch 19,0.027,0.055,0.082,0.082,0.667,0.944,0.556,0.0028,0.011,18.40163635,667,0,944,0,556,0,28,0,110,18,40163635,
1,2,,78,1,1,0,,1,1,0,Imm-PtC_KHE_29,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Nafion 115,0.096,Odtud…,Batch 20,0.048,0.048,0.096,0.096,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,79,,,,,,,,Imm-PtC_KHE_29,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Nafion 115,0.096,,Batch 20,0.048,0.048,0.096,0.096,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,80,,,,,,,,Imm-PtC_KHE_29,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,CXN_PEG6 (0.5:0.5),0.095,,Batch 20,0.048,0.048,0.095,0.095,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,81,,,,,,,,Imm-PtC_KHE_29,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,CXN_PEG6 (0.5:0.5),0.107,,Batch 20,0.054,0.054,0.107,0.107,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,82,,,,,,,,Imm-PtC_KHE_29,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,CXN_PEG6 (0.5:0.5),0.109,,Batch 20,0.055,0.055,0.109,0.109,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,83,,,,,,,,Imm-PtC_KHE_26,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,CXN_PEG6 (0.5:0.5),0.158,,Batch 20,0.079,0.079,0.158,0.158,[],[],[],[],[],,[],[],[],[],[],,,,,,,
0,0,,84,,,,,,,,Imm-PtC_KHE_26,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Nafion 115,0.167,...az sem upe napicu,Batch 20,0.084,0.084,0.167,0.167,[],[],[],[],[],,[],[],[],[],[],,,,,,,
1,3,,85,1,1,1,,1,1,1,TUBAF-PtC_KHE_05-09,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.151,Anoo,Batch 21,0.057,0.094,0.151,0.151,0.688,0.992,0.554,0.0032,0.0105,12.16908635,0,688,0,992,0,554,0,32,0,105,12,16908635
1,3,,86,1,1,1,,1,1,1,TUBAF-PtC_KHE_05-09,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.149,,Batch 21,0.055,0.094,0.149,0.149,0.807,0.984,0.582,0.0025,0.0095,12.06395039,0,807,0,984,0,582,0,25,0,95,12,6395039
